horario,tensao_p1(V),tensao_p2(V),irradiacao(W/m2)
2022-08-21 18:27:04.274407,0.0,0.0,null
2022-08-21 18:27:04.374406,0.0,0.0,null
2022-08-21 18:27:04.474414,0.0,0.0,null
2022-08-21 18:27:04.574418,0.0,0.0,null
2022-08-21 18:27:04.674417,0.0,0.0,null
2022-08-21 18:27:04.774425,0.0,0.0,null
2022-08-21 18:27:04.874409,0.0,0.0,null
2022-08-21 18:27:04.974404,0.0,0.0,null
2022-08-21 18:27:05.074407,0.0,0.0,null
2022-08-21 18:27:05.174403,0.0,0.0,null
2022-08-21 18:27:05.274428,0.0,0.0,null
2022-08-21 18:27:05.374408,0.0,0.0,null
2022-08-21 18:27:05.474392,0.0,0.0,null
2022-08-21 18:27:05.574407,0.0,0.0,null
2022-08-21 18:27:05.674405,0.0,0.0,null
2022-08-21 18:27:05.774406,0.0,0.0,null
2022-08-21 18:27:05.874394,0.0,0.0,null
2022-08-21 18:27:05.974402,0.0,0.0,null
2022-08-21 18:27:06.074393,0.0,0.0,null
2022-08-21 18:27:06.174470,0.0,0.0,null
2022-08-21 18:27:06.274409,0.0,0.0,null
2022-08-21 18:27:06.374408,0.0,0.0,null
2022-08-21 18:27:06.474399,0.0,0.0,null
2022-08-21 18:27:06.574421,0.0,0.0,null
2022-08-21 18:27:06.674398,0.0,0.0,null
2022-08-21 18:27:06.774395,0.0,0.0,null
2022-08-21 18:27:06.874395,0.0,0.0,null
2022-08-21 18:27:06.974436,0.0,0.0,null
2022-08-21 18:27:07.074414,0.0,0.0,null
2022-08-21 18:27:07.174429,0.0,0.0,null
2022-08-21 18:27:07.274417,0.0,0.0,null
2022-08-21 18:27:07.374420,0.0,0.0,null
2022-08-21 18:27:07.474416,0.0,0.0,null
2022-08-21 18:27:07.574421,0.0,0.0,null
2022-08-21 18:27:07.674411,0.0,0.0,null
2022-08-21 18:27:07.774421,0.0,0.0,null
2022-08-21 18:27:07.874405,0.0,0.0,null
2022-08-21 18:27:07.974406,0.0,0.0,null
2022-08-21 18:27:08.074405,0.0,0.0,null
2022-08-21 18:27:08.174405,0.0,0.0,null
2022-08-21 18:27:08.274448,0.0,0.0,null
2022-08-21 18:27:08.374419,0.0,0.0,null
2022-08-21 18:27:08.474405,0.0,0.0,null
2022-08-21 18:27:08.574453,0.0,0.0,null
2022-08-21 18:27:08.674407,0.0,0.0,null
2022-08-21 18:27:08.774403,0.0,0.0,null
2022-08-21 18:27:08.874403,0.0,0.0,null
2022-08-21 18:27:08.974413,0.0,0.0,null
2022-08-21 18:27:09.074403,0.0,0.0,null
2022-08-21 18:27:09.174401,0.0,0.0,null
2022-08-21 18:27:09.274444,0.0,0.0,null
2022-08-21 18:27:09.374409,0.0,0.0,null
2022-08-21 18:27:09.474394,0.0,0.0,null
2022-08-21 18:27:09.574425,0.0,0.0,null
2022-08-21 18:27:09.674409,0.0,0.0,null
2022-08-21 18:27:09.774405,0.0,0.0,null
2022-08-21 18:27:09.874404,0.0,0.0,null
2022-08-21 18:27:09.974408,0.0,0.0,null
2022-08-21 18:27:10.074407,0.0,0.0,null
2022-08-21 18:27:10.174414,0.0,0.0,null
2022-08-21 18:27:10.274416,0.0,0.0,null
2022-08-21 18:27:10.374418,0.0,0.0,null
2022-08-21 18:27:10.474415,0.0,0.0,null
2022-08-21 18:27:10.574411,0.0,0.0,null
2022-08-21 18:27:10.674402,0.0,0.0,null
2022-08-21 18:27:10.774413,0.0,0.0,null
2022-08-21 18:27:10.874407,0.0,0.0,null
2022-08-21 18:27:10.974404,0.0,0.0,null
2022-08-21 18:27:11.074405,0.0,0.0,null
2022-08-21 18:27:11.174406,0.0,0.0,null
2022-08-21 18:27:11.274409,0.0,0.0,null
2022-08-21 18:27:11.374415,0.0,0.0,null
2022-08-21 18:27:11.474406,0.0,0.0,null
2022-08-21 18:27:11.574404,0.0,0.0,null
2022-08-21 18:27:11.674405,0.0,0.0,null
2022-08-21 18:27:11.774404,0.0,0.0,null
